ID,Frase,Emocao
Z006,O ônibus passa a cada 20 minutos.,Neutra
Z074,"Nossa, vou fazer um café.",Neutra
N068,"Então, o projeto foi cancelado de última hora.",Negativa
N079,"Então, perdi o ônibus e vou chegar atrasado.",Negativa
Z115,"Nossa, o trânsito está fluindo bem.",Neutra
N058,"Realmente, que dor de cabeça insuportável.",Negativa
N129,"Nossa, essa cadeira é muito desconfortável.",Negativa
P002,Finalmente consegui terminar aquele projeto.,Positiva
Z104,"Então, preciso comprar um presente de aniversário.",Neutra
Z014,Preciso renovar minha carteira de motorista.,Neutra
Z089,"Nossa, você viu meu carregador?",Neutra
Z029,Vou pagar as contas no banco.,Neutra
P097,"Olha, você ilumina o ambiente quando chega.",Positiva
P008,Foi a melhor viagem da minha vida.,Positiva
N131,"Então, estou exausto de tanto discutir.",Negativa
Z010,Estou lendo um livro sobre história.,Neutra
N012,O trânsito está parado há horas.,Negativa
N107,"Então, não tenho paciência para isso agora.",Negativa
P098,"Sabe, o filme teve um final perfeito.",Positiva
Z035,O noticiário começa às 19h.,Neutra
Z030,O elevador está em manutenção.,Neutra
N109,"Sabe, ele foi muito grosso comigo.",Negativa
N086,"Realmente, estou me sentindo muito sozinho.",Negativa
N118,"Então, ninguém me avisou sobre a mudança.",Negativa
P104,"Sabe, achei exatamente o que estava procurando.",Positiva
P101,"Nossa, a festa estava super animada.",Positiva
P089,"Realmente, estou muito empolgado com as novidades.",Positiva
N083,"Realmente, não consigo dormir com essa preocupação.",Negativa
P040,Essa música me traz ótimas lembranças.,Positiva
Z110,"Sabe, onde deixei as chaves do carro?",Neutra
P060,"Realmente, estou me sentindo ótimo hoje.",Positiva
Z001,Vou passar no mercado na volta.,Neutra
Z027,A janela está aberta.,Neutra
P121,"Então, estou confiante de que vai dar certo.",Positiva
N088,"Olha, a internet caiu bem na hora da reunião.",Negativa
N018,Estou triste com a notícia que recebi.,Negativa
P032,Finalmente as férias chegaram.,Positiva
Z040,Vou responder as mensagens mais tarde.,Neutra
N053,"Sabe, estou farto de tantas mentiras.",Negativa
P096,"Realmente, consegui comprar os ingressos pro show!",Positiva
Z072,"Sabe, vou cortar o cabelo no sábado.",Neutra
Z070,"Realmente, a chave está embaixo do tapete.",Neutra
Z021,Recebi um e-mail da escola.,Neutra
P052,"Então, dormi muito bem essa noite.",Positiva
N070,"Então, que dia estressante no trabalho.",Negativa
N054,"Nossa, que cheiro horrível é esse?",Negativa
N092,"Nossa, essa situação é muito frustrante.",Negativa
P111,"Realmente, hoje é um dia para celebrar.",Positiva
Z032,Vou cortar o cabelo no sábado.,Neutra
N021,Sinto falta de quando as coisas eram mais simples.,Negativa
N077,"Olha, não aguento mais essa barulheira.",Negativa
